,stock_vol,benchmark_vol,abnormal_vol
-5,0.014270420409561039,0.01697246614235643,-0.002702045732795392
-4,0.014800414802998605,0.016689057119103987,-0.0018886423161053826
-3,0.015529900440101331,0.016137427508189056,-0.0006075270680877248
-2,0.014750053479523005,0.016715871057384507,-0.0019658175778615016
-1,0.014161627163285713,0.01614832245949074,-0.0019866952962050276
0,0.014374088956305014,0.014992611050037864,-0.0006185220937328494
1,0.013555660251396385,0.014889113701979111,-0.0013334534505827257
2,0.014029955375189243,0.01575519662879565,-0.0017252412536064073
3,0.014603126360401937,0.0146214349622879,-1.830860188596281e-05
4,0.014008525031818153,0.014748152617251114,-0.0007396275854329604
5,0.013369421172861674,0.014633643734458746,-0.0012642225615970715
6,0.01403423799395495,0.014503848609782028,-0.0004696106158270791
7,0.01270891559790882,0.01330857022042622,-0.0005996546225173986
8,0.013492229797200871,0.014329657361892784,-0.000837427564691913
9,0.013894121336864263,0.013946235677301905,-5.211434043764229e-05
10,0.015206490248419446,0.014282285976862453,0.0009242042715569936
