ticker,event_date,sentiment_score,lookback_mean,lookback_std,threshold,headline_count,z_score
NVDA,2021-08-30,-0.9322842359542848,0.2096632719039917,0.6550843426864958,-0.7729632421257521,1,-1.7432068413895505
AMZN,2021-09-13,-0.9248253107070924,0.1946349859237671,0.5969639414521143,-0.7008109262544044,1,-1.8752561401075136
JPM,2022-02-03,-0.870664119720459,0.12112643718719482,0.582094493238942,-0.7520153026712182,1,-1.7038308529411512
JPM,2022-02-17,-0.9319332838058472,0.06745044887065887,0.6322061031250364,-0.8808587058168957,1,-1.5807878597446092
XOM,2022-02-17,-0.8721182346343994,0.15551348527272543,0.3413747149488313,-0.3565485871505215,1,-3.0102748531365497
MSFT,2022-02-22,-0.5588053464889526,0.14567418893178305,0.3554012214275862,-0.3874276432095962,1,-1.982209100438545
MSFT,2022-03-02,-0.90939199924469,0.06246492862701416,0.5127430003288928,-0.7066495718663249,1,-1.8954074989776915
UNH,2022-04-04,-0.90711510181427,-0.06590725978215535,0.45169834776304674,-0.7434547814267255,1,-1.8623221585778258
AMZN,2022-05-25,-0.888468861579895,0.34356560309727985,0.4124782196804228,-0.27515172642335434,1,-2.9869079284518887
XOM,2022-05-27,-0.890400767326355,0.03958561420440674,0.5534019345606153,-0.7905172876365162,1,-1.6804899358892618
MSFT,2022-06-02,-0.9080848693847656,0.18823153972625734,0.5669561361750683,-0.6622026645363452,1,-1.9336882329332359
GOOGL,2022-08-04,-0.911839485168457,0.16949081420898438,0.3789929821330763,-0.39899865899063003,1,-2.8531670779005416
MSFT,2022-12-29,-0.9080848693847656,0.1251835823059082,0.2799189997029506,-0.2946949172485177,1,-3.691312318160525
AMZN,2023-03-13,-0.9339359998703004,0.2543877760569255,0.6450346256672878,-0.7131641624440062,1,-1.8422635446863118
GOOGL,2023-04-10,-0.8741382360458374,-0.09873291424342565,0.34865747408090436,-0.6217191253647822,1,-2.2239744719268013
GOOGL,2023-05-25,-0.911839485168457,-0.2129744423760308,0.3775716319491827,-0.7793318902998049,1,-1.850946902934928
JPM,2023-08-04,-0.924880027770996,0.17967479228973388,0.6849703449224236,-0.8477807250939013,1,-1.6125585994322518
AAPL,2023-12-21,-0.9206353425979614,0.2115971048672994,0.36232693745733663,-0.33189330131870554,1,-3.124891721854324
JPM,2024-02-22,-0.870664119720459,0.1574796676635742,0.6102960747783452,-0.7579644445039436,1,-1.6846639358731692
V,2024-03-22,-0.8673806190490723,-0.11373433470726013,0.3216892773009766,-0.596268250658725,1,-2.342777137817656
XOM,2024-04-29,-0.9303053617477416,0.054961013793945315,0.6311015952871059,-0.8916913791367134,1,-1.5611850499180906
META,2024-08-26,-0.8589844703674316,-0.12337357997894287,0.27587171146042333,-0.5371811471695779,1,-2.6664962728301336
AMZN,2024-11-21,-0.9339359998703004,0.05283463001251219,0.6294546232692011,-0.8913473048912894,1,-1.5676596745891196
NVDA,2024-12-17,-0.9190820455551147,0.24996819496154785,0.7106629758617128,-0.8160262688310213,1,-1.6450135721494894
